"APR","Count"
"4.021","121"
"4.022","124"
"4.023","111"
"4.024","87"
"4.025","111"
"4.026","115"
"4.027","120"
"4.028","122"
"4.029","126"
"4.03","145"
"4.031","144"
"4.032","104"
"4.033","140"
"4.034","136"
"4.035","121"
"4.036","138"
"4.037","139"
"4.038","107"
"4.039","148"
"4.04","101"
"4.041","121"
"4.042","138"
"4.043","163"
"4.044","108"
"4.045","105"
"4.046","113"
"4.047","175"
"4.048","665"
"4.049","118"
"4.05","131"
"4.051","146"
"4.052","186"
"4.053","155"
"4.054","109"
"4.055","142"
"4.056","133"
"4.057","133"
"4.058","143"
"4.059","188"
"4.06","127"
"4.061","145"
"4.062","126"
"4.063","886"
"4.064","134"
"4.065","145"
"4.066","152"
"4.067","201"
"4.068","173"
"4.069","157"
"4.07","163"
"4.071","156"
"4.072","153"
"4.073","139"
"4.074","122"
"4.075","129"
"4.076","143"
"4.077","135"
"4.078","154"
"4.079","140"
"4.08","142"
"4.081","152"
"4.082","173"
"4.083","182"
"4.084","132"
"4.085","163"
"4.086","115"
"4.087","121"
"4.088","116"
"4.089","249"
"4.09","120"
"4.091","151"
"4.092","137"
"4.093","138"
"4.094","171"
"4.095","154"
"4.096","127"
"4.097","127"
"4.098","175"
"4.099","145"
"4.1","164"
"4.101","175"
"4.102","138"
"4.103","143"
"4.104","165"
"4.105","148"
"4.106","170"
"4.107","140"
"4.108","141"
"4.109","160"
"4.11","155"
"4.111","153"
"4.112","161"
"4.113","152"
"4.114","148"
"4.115","158"
"4.116","158"
"4.117","111"
"4.118","160"
"4.119","186"
"4.12","124"
"4.121","151"
"4.122","138"
"4.123","144"
"4.124","142"
"4.125","2810"
"4.126","148"
"4.127","160"
"4.128","132"
"4.129","196"
"4.13","140"
"4.131","154"
"4.132","173"
"4.133","327"
"4.134","166"
"4.135","161"
"4.136","257"
"4.137","268"
"4.138","185"
"4.139","153"
"4.14","139"
"4.141","142"
"4.142","211"
"4.143","141"
"4.144","177"
"4.145","197"
"4.146","158"
"4.147","204"
"4.148","179"
"4.149","146"
"4.15","154"
"4.151","194"
"4.152","157"
"4.153","289"
"4.154","176"
"4.155","185"
"4.156","239"
"4.157","153"
"4.158","183"
"4.159","131"
"4.16","152"
"4.161","173"
"4.162","222"
"4.163","159"
"4.164","156"
"4.165","141"
"4.166","201"
"4.167","164"
"4.168","176"
"4.169","165"
"4.17","174"
"4.171","168"
"4.172","172"
"4.173","179"
"4.174","840"
"4.175","554"
"4.176","187"
"4.177","283"
"4.178","168"
"4.179","161"
"4.18","165"
"4.181","163"
"4.182","169"
"4.183","165"
"4.184","309"
"4.185","179"
"4.186","179"
"4.187","282"
"4.188","161"
"4.189","626"
"4.19","185"
"4.191","277"
"4.192","188"
"4.193","240"
"4.194","244"
"4.195","191"
"4.196","172"
"4.197","196"
"4.198","154"
"4.199","245"
"4.2","168"
"4.201","184"
"4.202","148"
"4.203","169"
"4.204","308"
"4.205","182"
"4.206","190"
"4.207","188"
"4.208","188"
"4.209","202"
"4.21","179"
"4.211","226"
"4.212","187"
"4.213","173"
"4.214","185"
"4.215","270"
"4.216","206"
"4.217","190"
"4.218","229"
"4.219","198"
"4.22","184"
"4.221","173"
"4.222","207"
"4.223","183"
"4.224","212"
"4.225","204"
"4.226","183"
"4.227","213"
"4.228","169"
"4.229","175"
"4.23","181"
"4.231","175"
"4.232","214"
"4.233","186"
"4.234","196"
"4.235","198"
"4.236","180"
"4.237","246"
"4.238","217"
"4.239","163"
"4.24","188"
"4.241","221"
"4.242","209"
"4.243","184"
"4.244","175"
"4.245","162"
"4.246","164"
"4.247","155"
"4.248","205"
"4.249","176"
"4.25","3981"
"4.251","229"
"4.252","244"
"4.253","178"
"4.254","183"
"4.255","341"
"4.256","190"
"4.257","188"
"4.258","169"
"4.259","205"
"4.26","206"
"4.261","272"
"4.262","227"
"4.263","337"
"4.264","203"
"4.265","230"
"4.266","229"
"4.267","213"
"4.268","265"
"4.269","229"
"4.27","225"
"4.271","246"
"4.272","303"
"4.273","242"
"4.274","407"
"4.275","211"
"4.276","239"
"4.277","221"
"4.278","212"
"4.279","222"
"4.28","312"
"4.281","260"
